,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
181,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
2698,31,services,single,secondary,no,516,yes,no,unknown,13,may,271,2,-1,0,unknown,no
31371,59,admin.,married,secondary,no,3735,no,no,cellular,18,mar,203,4,121,2,failure,yes
31100,26,student,single,secondary,no,620,no,no,cellular,17,feb,104,1,-1,0,unknown,yes
5429,55,technician,married,unknown,no,4746,yes,no,unknown,23,may,288,3,-1,0,unknown,no
40196,37,unknown,single,tertiary,no,0,no,no,cellular,8,jun,257,2,97,1,success,yes
124,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
3520,43,housemaid,married,primary,no,18,yes,yes,unknown,15,may,192,3,-1,0,unknown,no
1383,34,management,single,tertiary,no,163,no,no,unknown,8,may,44,1,-1,0,unknown,no
727,42,admin.,married,secondary,no,101,yes,no,unknown,6,may,32,3,-1,0,unknown,no
43755,35,technician,single,tertiary,no,1880,no,no,cellular,20,may,154,1,-1,0,unknown,yes
3879,51,blue-collar,married,primary,no,1194,yes,no,unknown,16,may,558,3,-1,0,unknown,no
4128,28,technician,single,secondary,no,213,yes,no,unknown,19,may,267,1,-1,0,unknown,no
2733,57,technician,divorced,secondary,no,0,yes,no,unknown,14,may,360,2,-1,0,unknown,no
43605,45,admin.,married,secondary,no,205,no,no,cellular,4,may,552,1,90,2,success,yes
42201,48,unemployed,divorced,secondary,no,201,no,no,cellular,10,nov,594,1,91,1,success,yes
5066,34,entrepreneur,single,secondary,no,0,yes,yes,unknown,21,may,394,2,-1,0,unknown,no
3013,48,technician,married,secondary,no,638,yes,no,unknown,14,may,217,1,-1,0,unknown,no
5315,39,technician,single,tertiary,no,21,yes,no,unknown,23,may,58,1,-1,0,unknown,no
43139,37,management,married,tertiary,no,255,no,no,cellular,24,feb,562,2,183,10,success,yes
11287,31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,-1,0,unknown,yes
31758,56,technician,married,secondary,no,2847,no,no,cellular,8,apr,327,1,-1,0,unknown,yes
42132,67,retired,divorced,secondary,no,704,no,no,cellular,3,nov,537,1,-1,0,unknown,yes
1448,29,management,divorced,tertiary,no,607,yes,yes,unknown,8,may,240,3,-1,0,unknown,no
1152,35,management,divorced,tertiary,no,788,yes,no,unknown,7,may,297,3,-1,0,unknown,no
40833,39,admin.,married,secondary,no,260,yes,no,cellular,11,aug,175,2,116,2,failure,yes
4282,52,admin.,single,primary,no,0,no,no,unknown,19,may,182,11,-1,0,unknown,no
3655,53,retired,married,secondary,no,1139,yes,no,unknown,16,may,107,6,-1,0,unknown,no
2668,57,blue-collar,married,primary,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no
1567,32,blue-collar,married,secondary,no,20,yes,yes,unknown,8,may,117,3,-1,0,unknown,no
19251,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,-1,0,unknown,yes
27512,30,technician,single,secondary,no,2734,no,no,cellular,21,nov,459,3,-1,0,unknown,yes
4383,28,student,single,secondary,no,154,yes,no,unknown,20,may,21,9,-1,0,unknown,no
40690,46,management,married,tertiary,no,4693,no,yes,cellular,7,aug,79,1,394,2,failure,yes
1545,52,blue-collar,married,secondary,no,557,no,no,unknown,8,may,111,3,-1,0,unknown,no
140,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
31118,37,management,married,tertiary,no,5355,no,no,telephone,17,feb,466,4,-1,0,unknown,yes
43973,43,services,married,secondary,no,774,no,no,cellular,24,jun,482,1,91,2,success,yes
3087,45,blue-collar,married,primary,no,1794,yes,no,unknown,14,may,174,2,-1,0,unknown,no
1249,41,management,married,tertiary,no,1773,no,no,unknown,8,may,106,1,-1,0,unknown,no
42329,52,management,married,tertiary,no,583,no,no,cellular,17,nov,209,1,91,2,failure,yes
37133,28,admin.,divorced,secondary,no,451,yes,no,cellular,13,may,302,1,301,1,success,yes
36173,40,services,married,secondary,no,-192,yes,no,cellular,11,may,666,1,-1,0,unknown,yes
3141,36,blue-collar,married,unknown,no,-389,yes,no,unknown,14,may,76,9,-1,0,unknown,no
5379,38,blue-collar,married,secondary,no,-40,yes,no,unknown,23,may,227,1,-1,0,unknown,no
37457,34,management,single,tertiary,no,3821,yes,no,cellular,13,may,649,2,-1,0,unknown,yes
44858,31,housemaid,married,secondary,no,243,yes,no,cellular,23,sep,305,2,842,1,failure,yes
3150,57,technician,divorced,secondary,no,3105,yes,no,unknown,14,may,173,11,-1,0,unknown,no
2720,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes
193,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
27234,44,management,married,tertiary,no,4119,yes,yes,telephone,21,nov,1074,1,-1,0,unknown,yes
5276,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,yes
4541,43,management,married,tertiary,no,-8,yes,no,unknown,20,may,473,2,-1,0,unknown,no
2562,54,housemaid,married,secondary,no,42,yes,no,unknown,13,may,514,5,-1,0,unknown,no
896,44,blue-collar,married,primary,no,143,yes,no,unknown,7,may,153,1,-1,0,unknown,no
43891,31,management,married,tertiary,no,877,no,no,cellular,9,jun,192,1,93,7,other,yes
42109,54,technician,married,secondary,no,473,no,yes,cellular,2,nov,182,1,81,1,failure,yes
3900,30,admin.,married,secondary,no,122,yes,no,unknown,16,may,107,1,-1,0,unknown,no
2791,55,blue-collar,divorced,secondary,no,7378,no,no,unknown,14,may,316,3,-1,0,unknown,no
31075,42,management,divorced,unknown,no,7702,no,no,cellular,16,feb,138,2,-1,0,unknown,yes
701,46,blue-collar,married,unknown,no,401,yes,no,unknown,6,may,306,2,-1,0,unknown,no
31334,30,management,single,tertiary,no,3473,no,no,cellular,12,mar,1209,2,-1,0,unknown,yes
42291,34,blue-collar,single,unknown,no,129,yes,yes,cellular,16,nov,295,1,200,2,success,yes
3113,47,blue-collar,married,secondary,no,3630,yes,no,unknown,14,may,133,4,-1,0,unknown,no
43184,51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,-1,0,unknown,yes
4315,27,blue-collar,single,secondary,no,5,yes,no,unknown,19,may,205,3,-1,0,unknown,no
36985,40,blue-collar,married,unknown,no,87,yes,no,cellular,13,may,477,3,-1,0,unknown,yes
3474,39,technician,married,primary,no,644,yes,no,unknown,15,may,110,1,-1,0,unknown,no
1543,37,admin.,married,secondary,no,14,yes,no,unknown,8,may,176,2,-1,0,unknown,no
40053,35,services,married,secondary,no,52,yes,no,cellular,4,jun,328,2,94,4,success,yes
40643,27,management,single,tertiary,no,6791,no,no,cellular,5,aug,179,2,69,26,other,yes
3346,23,technician,single,secondary,no,76,yes,no,unknown,15,may,23,1,-1,0,unknown,no
2083,28,admin.,single,secondary,no,-103,yes,no,unknown,12,may,252,4,-1,0,unknown,no
2564,49,self-employed,married,secondary,no,358,yes,yes,unknown,13,may,176,3,-1,0,unknown,no
2984,34,blue-collar,married,secondary,no,577,no,no,unknown,14,may,337,1,-1,0,unknown,no
44697,33,blue-collar,single,secondary,no,329,no,no,cellular,6,sep,224,1,145,2,other,yes
41149,49,technician,single,secondary,no,9131,yes,no,cellular,18,aug,532,1,461,5,failure,yes
43629,41,technician,single,tertiary,no,1646,yes,no,cellular,5,may,258,1,90,7,success,yes
1849,29,management,married,tertiary,no,-6,yes,no,unknown,9,may,324,1,-1,0,unknown,no
43598,30,management,married,tertiary,no,4328,no,no,cellular,30,apr,262,3,189,11,other,yes
22278,34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
44572,33,technician,married,secondary,no,484,yes,no,cellular,16,aug,205,3,182,9,success,yes
5278,31,services,single,secondary,no,-32,yes,no,unknown,23,may,157,1,-1,0,unknown,no
4439,38,admin.,divorced,secondary,no,3750,yes,no,unknown,20,may,119,1,-1,0,unknown,no
2282,40,blue-collar,married,primary,no,570,yes,no,unknown,12,may,109,3,-1,0,unknown,no
1350,46,blue-collar,married,primary,no,174,yes,yes,unknown,8,may,108,3,-1,0,unknown,no
5424,49,management,married,unknown,no,383,yes,no,unknown,23,may,290,3,-1,0,unknown,no
1390,28,management,single,tertiary,no,21,yes,no,unknown,8,may,219,3,-1,0,unknown,no
20236,33,management,single,tertiary,no,0,no,no,cellular,11,aug,699,7,-1,0,unknown,yes
45133,24,student,single,secondary,no,822,no,no,cellular,27,oct,184,1,91,2,failure,yes
31506,32,admin.,single,secondary,no,471,no,yes,cellular,2,apr,243,3,-1,0,unknown,yes
3226,42,technician,single,tertiary,no,2157,yes,yes,unknown,15,may,260,1,-1,0,unknown,no
4083,50,blue-collar,divorced,secondary,no,2402,yes,no,unknown,19,may,219,1,-1,0,unknown,no
3029,29,management,single,tertiary,no,1952,yes,no,unknown,14,may,354,1,-1,0,unknown,no
39788,53,technician,married,secondary,no,284,no,no,cellular,1,jun,781,1,-1,0,unknown,yes
1282,38,management,married,tertiary,no,66,yes,no,unknown,8,may,124,1,-1,0,unknown,no
44010,49,admin.,single,secondary,no,293,no,no,cellular,28,jun,452,1,-1,0,unknown,yes
1871,33,blue-collar,single,secondary,no,687,yes,no,unknown,9,may,174,1,-1,0,unknown,no
2399,24,blue-collar,single,secondary,no,-10,yes,no,unknown,13,may,106,1,-1,0,unknown,no
2607,47,services,divorced,secondary,no,743,yes,yes,unknown,13,may,367,1,-1,0,unknown,no
2277,39,blue-collar,married,secondary,no,23,yes,no,unknown,12,may,22,5,-1,0,unknown,no
31219,49,management,married,tertiary,no,2881,no,no,cellular,2,mar,120,3,-1,0,unknown,yes
2598,44,blue-collar,married,primary,no,300,yes,no,unknown,13,may,297,3,-1,0,unknown,no
3765,23,admin.,married,tertiary,no,2,yes,no,unknown,16,may,140,1,-1,0,unknown,no
3188,50,management,married,tertiary,no,-516,yes,no,unknown,15,may,226,2,-1,0,unknown,no
3818,29,blue-collar,single,secondary,no,1166,yes,no,unknown,16,may,33,1,-1,0,unknown,no
3739,58,admin.,married,primary,no,879,yes,no,unknown,16,may,242,7,-1,0,unknown,no
7457,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,yes
40157,35,housemaid,single,primary,no,745,no,no,telephone,5,jun,522,3,-1,0,unknown,yes
40012,42,unemployed,married,tertiary,no,576,no,no,cellular,3,jun,447,2,96,1,success,yes
4826,39,technician,married,secondary,no,597,yes,no,unknown,21,may,298,2,-1,0,unknown,no
41148,34,management,single,tertiary,no,5,no,no,cellular,18,aug,370,2,-1,0,unknown,yes
44754,33,unemployed,single,secondary,no,2066,no,yes,cellular,9,sep,305,1,749,2,failure,yes
23072,42,management,divorced,tertiary,no,1243,no,no,cellular,26,aug,1000,4,-1,0,unknown,yes
4720,49,technician,single,secondary,no,0,yes,no,unknown,20,may,484,2,-1,0,unknown,no
34210,38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,301,3,90,1,success,yes
1345,42,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
28969,29,technician,single,tertiary,no,2325,no,no,cellular,2,feb,125,1,-1,0,unknown,yes
29100,36,admin.,married,secondary,no,96,no,no,cellular,2,feb,302,1,-1,0,unknown,yes
44610,63,admin.,married,secondary,no,0,yes,no,cellular,31,aug,253,5,-1,0,unknown,yes
1862,32,technician,married,secondary,no,1118,yes,yes,unknown,9,may,128,2,-1,0,unknown,no
3664,60,management,divorced,secondary,no,773,yes,yes,unknown,16,may,597,22,-1,0,unknown,no
44984,33,management,single,tertiary,no,816,yes,no,cellular,11,oct,383,2,503,2,failure,yes
9144,56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes
24926,49,management,married,tertiary,no,1050,yes,no,cellular,18,nov,924,1,-1,0,unknown,yes
1349,58,blue-collar,married,primary,no,5,no,no,unknown,8,may,177,2,-1,0,unknown,no
43001,35,self-employed,single,tertiary,no,353,no,no,cellular,11,feb,352,1,183,1,success,yes
5296,35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,no
43154,74,retired,married,primary,no,1413,no,no,cellular,25,feb,385,2,-1,0,unknown,yes
5410,35,admin.,divorced,secondary,no,579,yes,no,unknown,23,may,250,3,-1,0,unknown,no
15686,31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,jul,1039,7,-1,0,unknown,yes
4469,34,technician,single,tertiary,no,759,no,no,unknown,20,may,265,1,-1,0,unknown,no
35078,35,management,married,tertiary,no,991,yes,no,cellular,6,may,1489,3,-1,0,unknown,yes
27119,40,admin.,married,primary,no,72,yes,yes,cellular,21,nov,849,1,-1,0,unknown,yes
44407,48,admin.,married,secondary,no,156,no,no,cellular,4,aug,291,1,-1,0,unknown,yes
836,30,services,single,secondary,no,-174,yes,no,unknown,7,may,113,1,-1,0,unknown,no
25932,52,management,married,tertiary,no,40,no,no,cellular,19,nov,1265,3,-1,0,unknown,yes
41903,77,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,1,-1,0,unknown,yes
45137,30,management,single,tertiary,no,297,no,no,cellular,8,nov,188,1,-1,0,unknown,yes
4666,55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,unknown,no
40813,30,management,single,tertiary,no,533,no,no,cellular,11,aug,229,2,99,4,success,yes
32196,35,management,divorced,tertiary,no,26,no,no,cellular,16,apr,78,2,-1,0,unknown,yes
30491,57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,1063,2,-1,0,unknown,yes
40140,21,student,single,secondary,no,794,no,no,cellular,5,jun,191,1,-1,0,unknown,yes
20227,33,management,single,tertiary,no,1120,no,no,cellular,11,aug,1070,2,-1,0,unknown,yes
23191,37,management,married,tertiary,no,40,no,no,cellular,27,aug,1033,4,-1,0,unknown,yes
1533,50,technician,single,tertiary,no,0,yes,no,unknown,8,may,393,2,-1,0,unknown,no
2123,43,self-employed,single,secondary,no,798,yes,no,unknown,12,may,217,1,-1,0,unknown,no
861,53,admin.,divorced,unknown,no,236,yes,no,unknown,7,may,354,1,-1,0,unknown,no
17104,57,retired,divorced,primary,no,63,no,yes,cellular,25,jul,1448,17,-1,0,unknown,yes
2184,43,admin.,single,secondary,no,275,yes,no,unknown,12,may,457,4,-1,0,unknown,no
37069,35,blue-collar,single,primary,no,-276,yes,no,cellular,13,may,850,1,-1,0,unknown,yes
4820,39,blue-collar,divorced,unknown,no,528,yes,no,unknown,21,may,111,5,-1,0,unknown,no
4229,29,technician,single,secondary,no,103,no,no,unknown,19,may,314,1,-1,0,unknown,no
37611,49,blue-collar,married,secondary,no,-454,yes,no,cellular,14,may,558,1,-1,0,unknown,yes
204,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
2603,39,blue-collar,married,secondary,no,1554,yes,no,unknown,13,may,378,1,-1,0,unknown,no
41552,47,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91,1,100,2,other,yes
757,55,housemaid,divorced,tertiary,no,6920,yes,no,unknown,6,may,406,3,-1,0,unknown,no
40128,35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,yes
12359,32,admin.,divorced,secondary,no,-241,no,yes,unknown,27,jun,856,2,-1,0,unknown,yes
31321,32,entrepreneur,single,tertiary,no,-34,yes,no,cellular,11,mar,101,1,-1,0,unknown,yes
534,52,admin.,married,secondary,no,1236,yes,no,unknown,6,may,247,1,-1,0,unknown,no
2132,55,technician,married,secondary,no,276,yes,no,unknown,12,may,486,1,-1,0,unknown,no
44404,38,management,married,tertiary,no,1199,no,no,cellular,4,aug,178,1,1,1,success,yes
17709,58,retired,divorced,secondary,no,1080,yes,no,cellular,29,jul,1058,2,-1,0,unknown,yes
3979,43,admin.,single,tertiary,no,329,yes,no,unknown,16,may,218,2,-1,0,unknown,no
1482,37,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,133,2,-1,0,unknown,no
5088,31,admin.,divorced,secondary,no,2294,yes,no,unknown,21,may,96,2,-1,0,unknown,no
2185,49,services,single,secondary,no,5028,yes,no,unknown,12,may,891,1,-1,0,unknown,no
40750,42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success,yes
43506,38,blue-collar,divorced,secondary,no,0,yes,no,telephone,20,apr,162,1,181,5,success,yes
290,37,management,married,tertiary,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,no
42754,54,admin.,married,secondary,no,0,no,no,cellular,27,jan,565,1,-1,0,unknown,yes
39039,29,technician,single,tertiary,no,615,yes,no,cellular,18,may,373,1,-1,0,unknown,yes
45066,29,student,single,secondary,no,1925,no,no,cellular,21,oct,150,3,149,5,success,yes
44770,37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,other,yes
687,53,admin.,married,secondary,no,244,yes,yes,unknown,6,may,197,2,-1,0,unknown,no
5,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
16140,35,admin.,single,secondary,no,507,yes,no,cellular,22,jul,560,2,-1,0,unknown,yes
2006,29,services,single,secondary,no,487,yes,yes,unknown,9,may,176,2,-1,0,unknown,no
327,47,technician,married,tertiary,no,831,yes,no,unknown,5,may,316,3,-1,0,unknown,no
2299,53,admin.,married,secondary,no,465,no,yes,unknown,12,may,95,3,-1,0,unknown,no
7191,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes
44911,67,retired,married,primary,no,4416,no,no,cellular,29,sep,245,3,-1,0,unknown,yes
25627,46,self-employed,married,tertiary,no,2421,no,no,cellular,19,nov,1084,1,100,4,failure,yes
38728,32,management,single,tertiary,no,6542,yes,no,cellular,15,may,1598,4,175,5,failure,yes
42533,59,retired,married,primary,no,2074,no,no,cellular,21,dec,467,1,186,2,success,yes
25467,46,technician,single,secondary,no,874,no,no,cellular,19,nov,819,3,-1,0,unknown,yes
34241,33,technician,married,secondary,no,557,no,no,cellular,4,may,367,1,-1,0,unknown,yes
4583,32,technician,married,secondary,no,11697,yes,no,unknown,20,may,296,1,-1,0,unknown,no
10097,57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,1,-1,0,unknown,yes
39937,38,blue-collar,married,secondary,no,2467,no,no,cellular,2,jun,192,1,-1,0,unknown,yes
3491,47,admin.,married,secondary,no,257,yes,no,unknown,15,may,484,11,-1,0,unknown,no
4990,42,technician,divorced,secondary,no,2974,yes,no,unknown,21,may,187,5,-1,0,unknown,no
44414,49,blue-collar,married,secondary,no,1730,yes,no,cellular,4,aug,605,2,92,4,success,yes
33917,49,admin.,married,secondary,no,3608,yes,no,cellular,30,apr,252,1,168,1,success,yes
43898,39,services,married,secondary,no,323,no,no,cellular,9,jun,874,2,188,6,failure,yes
42213,23,technician,single,secondary,no,598,no,no,cellular,11,nov,406,1,195,1,failure,yes
40486,63,retired,married,secondary,no,18016,no,no,cellular,7,jul,371,1,-1,0,unknown,yes
154,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
1088,51,technician,married,secondary,no,221,yes,no,unknown,7,may,139,3,-1,0,unknown,no
4071,57,services,divorced,primary,no,1920,no,no,unknown,19,may,77,2,-1,0,unknown,no
3262,50,technician,married,secondary,no,892,yes,yes,unknown,15,may,234,1,-1,0,unknown,no
28237,29,unemployed,single,primary,no,550,no,no,cellular,29,jan,801,1,-1,0,unknown,yes
42192,61,retired,married,tertiary,no,2557,yes,no,cellular,10,nov,89,1,91,4,success,yes
4696,32,management,single,tertiary,no,1131,yes,no,unknown,20,may,267,2,-1,0,unknown,no
2125,52,services,divorced,primary,no,111,yes,no,unknown,12,may,179,2,-1,0,unknown,no
840,49,blue-collar,married,secondary,no,64,yes,no,unknown,7,may,293,3,-1,0,unknown,no
11622,27,blue-collar,married,secondary,no,61,yes,no,unknown,19,jun,1012,1,-1,0,unknown,yes
7324,33,blue-collar,single,primary,no,127,yes,no,unknown,29,may,1059,2,-1,0,unknown,yes
1403,42,management,married,tertiary,no,6,yes,no,unknown,8,may,103,4,-1,0,unknown,no
44141,31,management,single,tertiary,no,2907,yes,no,cellular,12,jul,248,1,194,3,failure,yes
3001,55,blue-collar,married,secondary,no,831,yes,no,unknown,14,may,144,1,-1,0,unknown,no
31006,34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,97,1,85,1,failure,yes
38464,32,management,married,secondary,no,134,yes,yes,cellular,15,may,532,3,-1,0,unknown,yes
33242,61,retired,married,secondary,no,243,no,no,cellular,20,apr,194,1,-1,0,unknown,yes
4893,33,management,married,tertiary,no,741,no,no,unknown,21,may,228,1,-1,0,unknown,no
316,36,blue-collar,married,secondary,no,539,yes,yes,unknown,5,may,453,2,-1,0,unknown,no
43451,35,technician,married,secondary,no,2201,no,no,telephone,12,apr,350,1,-1,0,unknown,yes
2320,56,admin.,married,secondary,no,11,no,no,unknown,13,may,42,3,-1,0,unknown,no
43088,39,management,single,tertiary,no,763,no,no,cellular,22,feb,543,1,189,1,failure,yes
5065,33,technician,single,secondary,no,313,yes,no,unknown,21,may,291,2,-1,0,unknown,no
39996,30,management,single,tertiary,no,3340,no,no,cellular,3,jun,238,3,-1,0,unknown,yes
3347,46,blue-collar,married,primary,no,346,yes,no,unknown,15,may,402,1,-1,0,unknown,no
26674,46,admin.,divorced,secondary,no,2087,no,no,cellular,20,nov,768,3,-1,0,unknown,yes
15522,31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,18,jul,913,4,-1,0,unknown,yes
40274,43,management,married,tertiary,no,3518,no,no,cellular,15,jun,181,2,-1,0,unknown,yes
39478,28,management,single,tertiary,no,957,no,no,cellular,25,may,915,2,-1,0,unknown,yes
33897,36,admin.,married,secondary,no,96,no,no,cellular,30,apr,208,1,87,1,success,yes
44129,35,self-employed,married,tertiary,no,2427,no,no,cellular,12,jul,210,3,158,7,other,yes
1634,31,blue-collar,married,primary,no,3007,yes,no,unknown,9,may,283,1,-1,0,unknown,no
317,51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,no
41627,42,management,divorced,tertiary,no,238,no,no,cellular,25,sep,692,1,-1,0,unknown,yes
45012,51,management,married,tertiary,no,469,no,no,cellular,14,oct,491,1,182,3,success,yes
1951,25,admin.,married,secondary,no,10,yes,no,unknown,9,may,393,2,-1,0,unknown,no
1753,37,blue-collar,married,secondary,no,934,no,no,unknown,9,may,258,2,-1,0,unknown,no
5049,32,management,married,tertiary,no,1330,yes,no,unknown,21,may,83,1,-1,0,unknown,no
4045,47,blue-collar,married,unknown,no,584,yes,no,unknown,19,may,79,19,-1,0,unknown,no
4197,27,blue-collar,married,secondary,no,72,yes,no,unknown,19,may,105,1,-1,0,unknown,no
3003,54,blue-collar,married,secondary,no,1480,yes,no,unknown,14,may,108,1,-1,0,unknown,no
3161,43,services,married,secondary,no,0,yes,no,unknown,14,may,260,3,-1,0,unknown,no
43864,65,admin.,married,secondary,no,952,no,no,cellular,2,jun,310,1,-1,0,unknown,yes
3843,52,technician,single,secondary,no,36,yes,no,unknown,16,may,335,1,-1,0,unknown,no
2805,50,blue-collar,divorced,secondary,no,204,yes,yes,unknown,14,may,421,1,-1,0,unknown,no
28274,40,management,single,tertiary,no,1361,no,no,cellular,29,jan,1473,1,-1,0,unknown,yes
1309,32,management,single,tertiary,no,751,yes,no,unknown,8,may,64,1,-1,0,unknown,no
9209,38,admin.,single,secondary,no,3239,no,no,unknown,5,jun,817,2,-1,0,unknown,yes
4754,38,admin.,married,unknown,no,28,no,no,unknown,20,may,725,1,-1,0,unknown,no
4958,35,entrepreneur,single,secondary,no,12961,yes,no,unknown,21,may,272,2,-1,0,unknown,no
13177,45,management,divorced,tertiary,no,854,no,yes,cellular,8,jul,730,1,-1,0,unknown,yes
34046,52,self-employed,married,tertiary,no,6657,no,no,telephone,30,apr,917,1,-1,0,unknown,yes
4538,36,admin.,married,secondary,no,2030,yes,no,unknown,20,may,24,1,-1,0,unknown,no
21387,54,blue-collar,married,secondary,no,548,no,no,cellular,18,aug,520,7,-1,0,unknown,yes
3733,43,blue-collar,married,unknown,no,91,yes,no,unknown,16,may,37,1,-1,0,unknown,no
41221,25,student,single,secondary,no,469,no,no,cellular,21,aug,273,1,86,1,other,yes
44347,71,technician,married,secondary,no,3020,no,no,telephone,30,jul,304,1,270,3,failure,yes
4449,36,services,married,secondary,no,380,yes,no,unknown,20,may,26,1,-1,0,unknown,no
17878,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown,yes
41930,19,student,single,secondary,no,329,no,no,cellular,22,oct,252,2,-1,0,unknown,yes
42080,36,blue-collar,married,secondary,no,1193,no,no,cellular,30,oct,640,1,-1,0,unknown,yes
4716,34,management,single,tertiary,no,1040,yes,no,unknown,20,may,96,2,-1,0,unknown,no
4642,39,services,married,secondary,no,1438,yes,no,unknown,20,may,212,2,-1,0,unknown,no
1728,46,blue-collar,married,secondary,no,-3,yes,no,unknown,9,may,92,2,-1,0,unknown,no
4314,55,blue-collar,married,secondary,no,212,yes,no,unknown,19,may,324,2,-1,0,unknown,no
36287,36,management,single,tertiary,no,1400,yes,no,cellular,11,may,608,3,-1,0,unknown,yes
1991,44,unemployed,married,secondary,no,-407,yes,no,unknown,9,may,119,2,-1,0,unknown,no
2633,47,blue-collar,married,primary,no,2466,yes,no,unknown,13,may,142,2,-1,0,unknown,no
2950,41,services,divorced,secondary,yes,-198,no,yes,unknown,14,may,133,1,-1,0,unknown,no
41979,73,retired,married,primary,no,542,no,no,cellular,26,oct,355,1,180,5,failure,yes
1444,32,blue-collar,married,primary,no,289,yes,no,unknown,8,may,23,4,-1,0,unknown,no
24089,36,technician,single,secondary,no,3254,yes,no,unknown,27,oct,207,1,-1,0,unknown,yes
2074,49,technician,married,secondary,no,4785,no,no,unknown,12,may,160,4,-1,0,unknown,no
39852,34,management,married,tertiary,no,611,no,no,cellular,2,jun,350,1,-1,0,unknown,yes
2722,45,blue-collar,married,secondary,no,2429,yes,no,unknown,13,may,171,2,-1,0,unknown,no
43417,50,blue-collar,married,primary,no,82,no,no,telephone,5,apr,456,1,-1,0,unknown,yes
3811,22,admin.,single,secondary,no,118,yes,no,unknown,16,may,270,1,-1,0,unknown,no
575,61,retired,married,secondary,no,195,yes,yes,unknown,6,may,179,1,-1,0,unknown,no
28095,31,services,single,secondary,no,1709,no,yes,telephone,28,jan,944,3,-1,0,unknown,yes
41615,71,retired,divorced,secondary,no,4380,no,no,cellular,22,sep,369,1,-1,0,unknown,yes
2128,35,blue-collar,married,secondary,no,362,yes,no,unknown,12,may,363,2,-1,0,unknown,no
43194,90,retired,divorced,primary,no,712,no,no,telephone,3,mar,557,1,-1,0,unknown,yes
4714,39,blue-collar,divorced,secondary,no,226,yes,no,unknown,20,may,221,2,-1,0,unknown,no
33775,74,retired,married,primary,no,670,no,no,cellular,23,apr,266,5,-1,0,unknown,yes
557,56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
2154,27,blue-collar,single,secondary,no,3675,no,no,unknown,12,may,101,2,-1,0,unknown,no
44724,32,blue-collar,married,primary,no,1644,no,no,cellular,7,sep,492,3,102,5,other,yes
5430,41,technician,single,secondary,no,30,no,no,unknown,23,may,1003,1,-1,0,unknown,no
16187,25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown,yes
4348,53,management,single,primary,no,208,yes,no,unknown,19,may,179,9,-1,0,unknown,no
15512,32,admin.,divorced,secondary,no,-46,no,yes,cellular,18,jul,1373,4,-1,0,unknown,yes
953,37,management,married,tertiary,no,115,no,no,unknown,7,may,36,1,-1,0,unknown,no
